Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,TotalPrice
489586,35001W,HAND OPEN SHAPE DECO.WHITE,36,2009/12/01,2.95,15380,United Kingdom,106.2
489593,48194,DOORMAT HEARTS,3,2009/12/01,6.75,12836,United Kingdom,20.25
489594,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,1,2009/12/01,4.95,15005,United Kingdom,4.95
489598,20685,RED SPOTTY COIR DOORMAT,2,2009/12/01,6.75,16620,United Kingdom,13.5
489606,20753,RETRO PINK SPOT WASHING UP GLOVES,1,2009/12/01,2.1,17961,United Kingdom,2.1
489611,21549,CERAMIC BIRDHOUSE RED ROOF SMALL,1,2009/12/01,2.95,15601,United Kingdom,2.95
489613,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,2009/12/01,12.75,13585,United Kingdom,12.75
489617,46000P,POLYESTER FILLER PAD 65CMx65CM,2,2009/12/01,4.25,13442,United Kingdom,8.5
489634,21814,HEART T-LIGHT HOLDER ,12,2009/12/01,1.45,13381,United Kingdom,17.4
489635,47566,PARTY BUNTING,5,2009/12/01,4.65,16763,United Kingdom,23.25
489637,72815,3 WICK CHRISTMAS BRIAR CANDLE ,12,2009/12/01,3.75,17243,United Kingdom,45
489639,15036,ASSORTED COLOURS SILK FAN,48,2009/12/01,0.65,14865,United Kingdom,31.2
489640,22172,METAL SHELF WITH RAIL ,1,2009/12/01,8.5,17345,United Kingdom,8.5
489641,20724,RED SPOTTY CHARLOTTE BAG,30,2009/12/01,0.85,13819,United Kingdom,25.5
489644,21218,RED SPOTTY BISCUIT TIN,1,2009/12/01,3.75,15808,United Kingdom,3.75
489650,21490,SET OF THREE 50'S GIFT WRAPS ,20,2009/12/01,1.95,13748,United Kingdom,39
489652,22186,RED STAR CARD HOLDER,6,2009/12/01,2.95,15265,United Kingdom,17.7
489654,20713,JUMBO BAG OWLS,3,2009/12/01,1.95,15750,United Kingdom,5.85
489656,20770,ABSTRACT CIRCLE JOURNAL ,18,2009/12/01,2.55,17428,United Kingdom,45.9
489657,22349,"DOG BOWL , CHASING BALL DESIGN",4,2009/12/01,3.75,17428,United Kingdom,15
489658,21499,BLUE SPOTS  WRAP,25,2009/12/01,0.42,15485,United Kingdom,10.5
489661,40016,CHINESE DRAGON PAPER LANTERNS,24,2009/12/01,0.42,17246,United Kingdom,10.08
489664,21737,SET 3 WICKER LOG BASKETS,1,2009/12/01,19.95,14061,United Kingdom,19.95
489665,22101,MIRROR MOSAIC VOTIVE HOLDER,36,2009/12/01,1.85,14108,United Kingdom,66.6
489666,22337,ANGEL DECORATION PAINTED ZINC ,24,2009/12/01,0.65,13648,United Kingdom,15.6
489667,21133,PAINTED BIRD ASSORTED CHRISTMAS,12,2009/12/01,1.69,16563,United Kingdom,20.28
489668,21493, VINTAGE DESIGN GIFT TAGS,24,2009/12/01,0.85,16701,United Kingdom,20.4
489670,21527,RETRO SPOT TRADITIONAL TEAPOT ,4,2009/12/02,7.95,14302,United Kingdom,31.8
489671,51008,AFGHAN SLIPPER SOCK PAIR,50,2009/12/02,3.45,14135,United Kingdom,172.5
489672,20676,RED SPOTTY BOWL,16,2009/12/02,1.25,14831,United Kingdom,20
489673,22195,HEART MEASURING SPOONS LARGE,12,2009/12/02,1.65,14831,United Kingdom,19.8
489675,21842,PINK HEART CANDY BUTTON CALCULATOR,48,2009/12/02,2.1,13777,United Kingdom,100.8
489676,22095,LADS ONLY TISSUE BOX,120,2009/12/02,1.25,13777,United Kingdom,150
489677,21341,KASBAH LANTERN WITH GLASS ,24,2009/12/02,4.25,14000,United Kingdom,102
489678,22023,EMPIRE BIRTHDAY CARD,1,2009/12/02,0.42,16823,United Kingdom,0.42
489680,21889,WOODEN BOX OF DOMINOES,36,2009/12/02,1.25,17193,United Kingdom,45
489681,35649,VINTAGE BEAD COSMETIC BAG ,2,2009/12/02,3.35,17998,United Kingdom,6.7
489682,22121,NOEL WOODEN BLOCK LETTERS ,3,2009/12/02,5.95,15759,United Kingdom,17.85
489683,48116,DOOR MAT MULTICOLOUR STRIPE,2,2009/12/02,6.75,16131,United Kingdom,13.5
489684,84990,60 GOLD AND SILVER FAIRY CAKE CASES,48,2009/12/02,0.55,14560,United Kingdom,26.4
489687,21837,CROSS STITCH ALPHABET CUSHION COVER,3,2009/12/02,5.95,17087,United Kingdom,17.85
489688,85047,WHITE BEADED GARLAND STRING 20LIGHT,6,2009/12/02,6.35,14894,United Kingdom,38.1
489699,85099C,JUMBO  BAG BAROQUE BLACK WHITE,20,2009/12/02,1.95,16700,United Kingdom,39
489705,22207,FRYING PAN UNION FLAG,4,2009/12/02,4.25,16700,United Kingdom,17
489725,22197,"POPCORN HOLDER , SMALL ",300,2009/12/02,0.72,17949,United Kingdom,216
489726,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,200,2009/12/02,3.75,17949,United Kingdom,750
489733,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,24,2009/12/02,2.75,15311,United Kingdom,66
489743,84562B,BLUE/WHITE RIBBED MELAMINE JUG,2,2009/12/02,7.95,16550,United Kingdom,15.9
489748,84078A,SET/4 WHITE RETRO STORAGE CUBES ,12,2009/12/02,34.95,12980,United Kingdom,419.4
489764,20772,GARDEN PATH JOURNAL,6,2009/12/02,2.55,14425,United Kingdom,15.3
489766,90042B,FRESHWATER PEARL BRACELET PINK,2,2009/12/02,2.55,17818,United Kingdom,5.1
489780,22083,PAPER CHAIN KIT RETRO SPOT,12,2009/12/02,2.95,13654,United Kingdom,35.4
489782,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",5,2009/12/02,0.85,17189,United Kingdom,4.25
489783,21025,SPACE FROG,10,2009/12/02,1.25,13269,United Kingdom,12.5
489784,22344,PARTY PIZZA DISH PINK+WHITE SPOT ,12,2009/12/02,0.85,13269,United Kingdom,10.2
489785,17084R,ASSORTED INCENSE PACK,72,2009/12/02,0.21,14653,United Kingdom,15.12
489786,21898,POTTING SHED ROSE CANDLE,1,2009/12/02,2.95,17019,United Kingdom,2.95
489787,37348,SET OF 4 PASTEL STACKING MUGS,1,2009/12/02,2.55,15542,United Kingdom,2.55
489788,48111,DOOR MAT 3 SMILEY CATS,2,2009/12/02,6.75,13564,United Kingdom,13.5
489789,20682,RED SPOTTY CHILDS UMBRELLA,6,2009/12/02,3.25,15833,United Kingdom,19.5
489790,84327A,PINK JUMPER LARRY THE LAMB,48,2009/12/02,1.69,16467,United Kingdom,81.12
489791,84802B,PURPLE ANEMONE ARTIFICIAL FLOWER,3,2009/12/02,1.69,15542,United Kingdom,5.07
489792,21246,RED SPOTTY BIG BOWL,2,2009/12/02,4.95,14527,United Kingdom,9.9
489793,85061W,WHITE JEWELLED HEART DECORATION,24,2009/12/02,0.85,17476,United Kingdom,20.4
489794,20982,12 PENCILS TALL TUBE SKULLS,12,2009/12/02,0.85,15287,United Kingdom,10.2
489795,72741,GRAND CHOCOLATECANDLE,18,2009/12/02,1.45,14440,United Kingdom,26.1
489796,20668,DISCO BALL CHRISTMAS DECORATION,24,2009/12/02,0.12,15680,United Kingdom,2.88
489797,22276,WASH BAG VINTAGE ROSE PAISLEY,1,2009/12/02,2.55,15581,United Kingdom,2.55
489798,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2009/12/02,3.95,13740,United Kingdom,15.8
489801,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,2009/12/02,0.38,12948,United Kingdom,36.48
489804,84854,GIRLY PINK TOOL SET,2,2009/12/02,4.95,14667,United Kingdom,9.9
489805,84991,60 TEATIME FAIRY CAKE CASES,3,2009/12/02,0.55,17377,United Kingdom,1.65
489807,85044,RED REINDEER STRING OF 20 LIGHTS,2,2009/12/02,4.95,15581,United Kingdom,9.9
489808,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,2009/12/02,1.25,14467,United Kingdom,2.5
489809,20726,LUNCH BAG WOODLAND,10,2009/12/02,1.65,13457,United Kingdom,16.5
489811,22109,FULL ENGLISH BREAKFAST PLATE,8,2009/12/02,3.75,16210,United Kingdom,30
489812,20906,VINTAGE NOTEBOOK BEAUTY GIRL,1,2009/12/02,2.95,17377,United Kingdom,2.95
489814,21035,SET/2 RED SPOTTY TEA TOWELS ,1,2009/12/02,2.95,14669,United Kingdom,2.95
489815,35610B,BLACK CHRISTMAS FLOCK DROPLET ,8,2009/12/02,1.25,17909,United Kingdom,10
489816,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,4,2009/12/02,1.65,16086,United Kingdom,6.6
489817,22215,CAKE STAND WHITE TWO TIER LACE,12,2009/12/02,7.65,16711,United Kingdom,91.8
489819,85049G,CHOCOLATE BOX RIBBONS ,8,2009/12/02,1.25,14739,United Kingdom,10
489822,21484,CHICK GREY HOT WATER BOTTLE,1,2009/12/02,3.45,14204,United Kingdom,3.45
489823,22271,FELTCRAFT DOLL ROSIE,6,2009/12/02,2.95,17606,United Kingdom,17.7
489825,20972,PINK CREAM FELT CRAFT TRINKET BOX ,24,2009/12/02,1.25,16126,United Kingdom,30
489826,15056BL,EDWARDIAN PARASOL BLACK,1,2009/12/02,5.95,17867,United Kingdom,5.95
489827,22341,LOVE GARLAND PAINTED ZINC ,12,2009/12/02,1.65,17412,United Kingdom,19.8
489829,85231L,LAVENDER SCENTED SET/9 T-LIGHTS,72,2009/12/02,0.85,16525,United Kingdom,61.2
489830,90200C,BLUE SWEETHEART BRACELET,5,2009/12/02,4.25,13623,United Kingdom,21.25
489831,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,2009/12/02,2.1,12435,Denmark,1008
489832,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2,2009/12/02,3.75,14549,United Kingdom,7.5
489833,85185C,COW  SOCK PUPPET,1,2009/12/02,2.95,14980,United Kingdom,2.95
489834,21217,RED SPOTTY ROUND CAKE TINS,24,2009/12/02,8.95,14106,United Kingdom,214.8
489837,22210,WOOD STAMP SET BEST WISHES,4,2009/12/02,1.65,14396,United Kingdom,6.6
489840,20747,PICCADILLY TEA SET,6,2009/12/02,14.95,14122,United Kingdom,89.7
489862,72598,SET/12 TAPER CANDLES,18,2009/12/02,0.85,17809,United Kingdom,15.3
489863,20725,LUNCH BAG RED SPOTTY,1,2009/12/02,1.65,15917,United Kingdom,1.65
489865,20748,KENSINGTON COFFEE SET,1,2009/12/02,12.75,14080,United Kingdom,12.75
489866,20692,FLORAL ELEPHANT SOFT TOY,1,2009/12/02,4.25,16200,United Kingdom,4.25
489868,85170A,SET/6 IVORY BIRD T-LIGHT CANDLES,6,2009/12/02,2.1,15794,United Kingdom,12.6
489870,85099B,JUMBO BAG RED WHITE SPOTTY ,30,2009/12/02,1.95,15523,United Kingdom,58.5
489871,37502,TEA TIME MUG IN GIFT BOX,96,2009/12/02,2.55,15523,United Kingdom,244.8
489872,21930,JUMBO STORAGE BAG SKULLS,20,2009/12/02,1.95,15615,United Kingdom,39
489873,22348,TEA BAG PLATE RED SPOTTY ,12,2009/12/02,0.85,15615,United Kingdom,10.2
489874,21498,RED SPOTS  WRAP ,50,2009/12/02,0.42,18001,United Kingdom,21
489875,79160,HEART SHAPE WIRELESS DOORBELL,11,2009/12/02,2.1,17841,United Kingdom,23.1
489877,21548,CERAMIC BIRDHOUSE FINCH BLUE ROOF,12,2009/12/02,2.95,13089,United Kingdom,35.4
489878,22150, 3 STRIPEY MICE FELTCRAFT,1,2009/12/02,1.95,15989,United Kingdom,1.95
489879,21353,SILVER SLEIGHBELL  WREATH,1,2009/12/02,7.95,17660,United Kingdom,7.95
489880,20871,OPULENT VELVET SET/3 CANDLES,18,2009/12/02,1.25,13313,United Kingdom,22.5
489883,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,6,2009/12/02,4.95,12437,France,29.7
489890,22343,PARTY PIZZA DISH RED WHITE SPOT ,288,2009/12/02,0.85,14646,Netherlands,244.8
489891,20679,EDWARDIAN PARASOL RED,6,2009/12/02,5.95,15482,United Kingdom,35.7
489893,22314,OFFICE MUG WARMER CHOC+BLUE,8,2009/12/02,4.95,16156,United Kingdom,39.6
489895,22130,PARTY CONE CHRISTMAS DECORATION ,12,2009/12/03,0.85,12779,Poland,10.2
489905,21107,CREAM SLICE FLANNEL PINK SPOT ,6,2009/12/03,2.95,13800,United Kingdom,17.7
489906,21591,COSY HOUR CIGAR BOX MATCHES ,24,2009/12/03,1.25,14483,United Kingdom,30
489907,20979,36 PENCILS TUBE RED SPOTTY,16,2009/12/03,1.25,14915,United Kingdom,20
489908,20703,BLUE PADDED SOFT MOBILE,3,2009/12/03,4.25,16301,United Kingdom,12.75
489909,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2009/12/03,0.95,13753,United Kingdom,22.8
489910,85112,S/3 TEAR DROP CUT GLASS DECORATION,288,2009/12/03,0.5,15482,United Kingdom,144
489913,22283,6 EGG HOUSE PAINTED WOOD,2,2009/12/03,7.95,13931,United Kingdom,15.9
489915,22296,HEART IVORY TRELLIS LARGE,24,2009/12/03,1.65,17035,United Kingdom,39.6
489932,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2009/12/03,2.95,14347,United Kingdom,17.7
489935,84884A,ANT WHITE WIRE HEART SPIRAL,30,2009/12/03,3.39,12934,United Kingdom,101.7
489994,22084,PAPER CHAIN KIT EMPIRE,40,2009/12/03,2.55,15291,United Kingdom,102
489996,21479,WHITE SKULL HOT WATER BOTTLE ,3,2009/12/03,3.75,17209,United Kingdom,11.25
490000,10133,COLOURING PENCILS BROWN TUBE,20,2009/12/03,0.85,17155,United Kingdom,17
490001,84270,ASSTD DESIGN BUBBLE GUM RING,30,2009/12/03,0.21,15965,United Kingdom,6.3
490002,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2009/12/03,1.95,17322,United Kingdom,1.95
490003,21380,WOODEN HAPPY BIRTHDAY GARLAND,12,2009/12/03,2.95,16159,United Kingdom,35.4
490005,21185, HOME SWEET HOME  BLACKBOARD,3,2009/12/03,6.35,13993,United Kingdom,19.05
490008,84627,CANDY STRIPE ROSE C/COVER ,1,2009/12/03,5.95,15768,United Kingdom,5.95
490009,35991,SET/6 BLACK SNOWFLAKE T-LIGHTS ,1,2009/12/03,1.69,12835,United Kingdom,1.69
490011,22196,SMALL HEART MEASURING SPOONS,2,2009/12/03,0.85,16918,United Kingdom,1.7
490012,21883,STARS GIFT TAPE ,12,2009/12/03,0.65,15179,United Kingdom,7.8
490013,21156,RED SPOTTY CHILDS APRON,8,2009/12/03,1.95,17069,United Kingdom,15.6
490014,21657,MILK BOTTLE WITH GLASS STOPPER ,1,2009/12/03,6.95,15466,United Kingdom,6.95
490018,21981,PACK OF 12 WOODLAND TISSUES ,4320,2009/12/03,0.25,17940,United Kingdom,1080
490022,22090,PAPER BUNTING RETRO SPOTS,6,2009/12/03,2.95,17581,United Kingdom,17.7
490024,84993B,75 BLACK PETIT FOUR CASES,5,2009/12/03,0.42,14606,United Kingdom,2.1
490034,22122,SET OF 2 FANCY FONT TEA TOWELS,3,2009/12/03,2.95,17287,United Kingdom,8.85
490045,21294,ETCHED GLASS COASTER,12,2009/12/03,1.25,17287,United Kingdom,15
490046,84519B,CARROT CHARLIE+LOLA COASTER SET,6,2009/12/03,2.95,13416,United Kingdom,17.7
490047,84754,S/15 SILVER GLASS BAUBLES IN BAG,12,2009/12/03,1.25,17913,United Kingdom,15
490048,85152,HAND OVER THE CHOCOLATE   SIGN ,48,2009/12/03,1.69,16779,United Kingdom,81.12
490053,20977,36 PENCILS TUBE WOODLAND,1,2009/12/03,1.25,14057,United Kingdom,1.25
490056,35824C,"HANGING FLOWERS+MIRROR,CLEAR",1,2009/12/03,1.49,13208,United Kingdom,1.49
490058,21624,VINTAGE UNION JACK DOORSTOP,3,2009/12/03,5.95,17465,United Kingdom,17.85
490060,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,12,2009/12/03,0.85,13468,United Kingdom,10.2
490061,84912B,GREEN ROSE WASHBAG,600,2009/12/03,2,18102,United Kingdom,1200
490063,90003D,CRYSTAL PAIR HEART HAIR SLIDES,1,2009/12/03,3.75,17271,United Kingdom,3.75
490064,21267,VINTAGE PINK TINSEL REEL ,6,2009/12/03,2.1,16139,United Kingdom,12.6
490066,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2009/12/03,2.95,15953,United Kingdom,17.7
490069,22041,"RECORD FRAME 7"" SINGLE SIZE ",12,2009/12/03,2.55,13085,United Kingdom,30.6
490070,22112,CHOCOLATE HOT WATER BOTTLE,48,2009/12/03,4.25,14967,United Kingdom,204
490071,21485,RED SPOT HEART HOT WATER BOTTLE,3,2009/12/03,4.95,16497,United Kingdom,14.85
490072,21742,LARGE ROUND WICKER PLATTER ,1,2009/12/03,5.95,17764,United Kingdom,5.95
490075,35004B,SET OF 3 BLACK FLYING DUCKS,12,2009/12/03,4.65,18229,United Kingdom,55.8
490077,20711,JUMBO BAG TOYS ,6,2009/12/03,1.95,17293,United Kingdom,11.7
490078,85098B,BLUE FLYING SINGING CANARY,4,2009/12/03,3.75,17853,United Kingdom,15
490079,22334,DINOSAUR PARTY BAG + STICKER SET,4,2009/12/03,1.65,15550,United Kingdom,6.6
490080,18098C,PORCELAIN BUTTERFLY OIL BURNER,6,2009/12/03,2.95,13531,United Kingdom,17.7
490081,21622,VINTAGE UNION JACK CUSHION COVER,8,2009/12/03,4.95,13786,United Kingdom,39.6
490082,20733,GOLD MINI TAPE MEASURE ,10,2009/12/03,0.85,14952,United Kingdom,8.5
490085,21432,SET OF 3 CASES WOODLAND DESIGN,1,2009/12/03,5.95,12937,United Kingdom,5.95
490086,21314,SMALL GLASS HEART TRINKET POT,432,2009/12/03,1.85,17949,United Kingdom,799.2
490087,22178,VICTORIAN GLASS HANGING T-LIGHT,48,2009/12/03,1.25,15601,United Kingdom,60
490088,84725,FREESTYLE CANVAS ART PICTURE,1,2009/12/03,4.25,15581,United Kingdom,4.25
490090,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,1,2009/12/03,2.55,15581,United Kingdom,2.55
490091,20971,PINK BLUE FELT CRAFT TRINKET BOX,600,2009/12/03,1.06,17949,United Kingdom,636
490092,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2009/12/03,3.75,16612,United Kingdom,15
490093,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2009/12/03,3.75,12949,United Kingdom,30
490094,72045D,ROSES ON BLUE TEACUP CANDLE ,504,2009/12/03,1.69,17949,United Kingdom,851.76
490095,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2009/12/03,5.95,14958,United Kingdom,11.9
490099,21728,METAL MEDINA LANTERN ,1,2009/12/03,12.75,16736,United Kingdom,12.75
490100,22284,HEN HOUSE DECORATION,3,2009/12/03,1.65,13001,United Kingdom,4.95
490101,20989,URBAN CHIC CHOPSTICKS SET/5,20,2009/12/03,1.95,14644,United Kingdom,39
490106,20738,GREEN MINI TAPE MEASURE ,10,2009/12/03,0.85,14898,United Kingdom,8.5
490109,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2009/12/03,0.55,14755,United Kingdom,13.2
490111,85079,EMBROIDERED REINDEER DECORATION,4,2009/12/03,2.12,17576,United Kingdom,8.48
490112,20751,FUNKY WASHING UP GLOVES ASSORTED,12,2009/12/03,2.1,13037,United Kingdom,25.2
490113,82581,TOILET METAL SIGN,1,2009/12/03,0.55,14710,United Kingdom,0.55
490114,21942,SKULLS DESIGN FLANNEL,12,2009/12/03,0.85,18168,United Kingdom,10.2
490115,16258B,DAISY ERASERS IN BAG,72,2009/12/03,0.42,17679,United Kingdom,30.24
490116,22300,COFFEE MUG DOG + BALL DESIGN,12,2009/12/03,2.55,17679,United Kingdom,30.6
490118,10138,ASSORTED COLOUR JUMBO PEN,11,2009/12/03,0.42,17851,United Kingdom,4.62
490119,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,75,2009/12/03,1.45,12931,United Kingdom,108.75
490124,21333,CLASSIC WHITE FRAME,1,2009/12/03,2.95,16791,United Kingdom,2.95
490127,21181,PLEASE ONE PERSON  METAL SIGN,6,2009/12/03,2.1,14156,EIRE,12.6
490128,84558A,3D DOG PICTURE PLAYING CARDS,48,2009/12/03,2.95,15884,United Kingdom,141.6
490136,21790,VINTAGE SNAP CARDS,3,2009/12/03,0.85,17432,United Kingdom,2.55
490138,16225,RATTLE SNAKE EGGS,12,2009/12/03,1.25,16722,United Kingdom,15
490139,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,2,2009/12/03,8.5,12577,France,17
490140,21818,GLITTER CHRISTMAS HEART ,1,2009/12/03,0.85,12872,United Kingdom,0.85
490141,21440,12 MINI TOADSTOOL PEGS,12,2009/12/04,1.25,15755,United Kingdom,15
490143,10125,MINI FUNKY DESIGN TAPES,20,2009/12/04,0.85,14286,United Kingdom,17
490144,10002,INFLATABLE POLITICAL GLOBE ,12,2009/12/04,0.85,13154,United Kingdom,10.2
490147,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2009/12/04,0.85,13408,United Kingdom,20.4
490151,17109D,FLOWER FAIRY INCENSE BOUQUET,6,2009/12/04,1.69,16645,United Kingdom,10.14
490152,16169P,WRAP GREEN RUSSIAN FOLKART ,25,2009/12/04,0.42,12714,France,10.5
490158,15056N,EDWARDIAN PARASOL NATURAL,3,2009/12/04,5.95,12759,Netherlands,17.85
490161,22355,"CHARLOTTE BAG , SUKI DESIGN",10,2009/12/04,0.85,17160,United Kingdom,8.5
490162,20660,VIP LUGGAGE TAG ,1,2009/12/04,1.25,13946,United Kingdom,1.25
490163,21100,CHARLIE AND LOLA CHARLOTTE BAG,4,2009/12/04,1.65,14723,United Kingdom,6.6
